InputID,TargetID,Distance
64780,Power and Light,124247.7662
64780,The Legands,136372.1675
64780,Lee's Summit,99230.33952
64724,Airport (MCI),141534.1508
64724,The Plaza,111074.9479
64724,Power and Light,116289.8883
64724,The Legands,129416.0869
64724,Lee's Summit,90786.51057
64079,Airport (MCI),9535.693643
64079,The Plaza,39600.48645
64079,Power and Light,34549.50315
64079,The Legands,26721.85894
64079,Lee's Summit,60997.68149
64156,Airport (MCI),17301.39492
64156,The Plaza,26704.27558
64156,Power and Light,20388.00887
64156,The Legands,31797.5945
64156,Lee's Summit,41755.57002
64155,Airport (MCI),13097.64009
64155,The Plaza,26494.43513
64155,Power and Light,20164.74263
64155,The Legands,28609.16145
64155,Lee's Summit,43541.57365
64127,Airport (MCI),28087.61553
64127,The Plaza,6946.075838
64127,Power and Light,3852.042077
64127,The Legands,25614.22871
64127,Lee's Summit,23479.03733
64108,Airport (MCI),26597.44668
64108,The Plaza,4679.268668
64108,Power and Light,1671.393945
64108,The Legands,21783.6903
64108,Lee's Summit,25557.4633
64035,Airport (MCI),77476.79338
64035,The Plaza,72082.11917
64035,Power and Light,69041.29079
64035,The Legands,89243.96598
64035,Lee's Summit,63994.05813
65321,Airport (MCI),111840.291
65321,The Plaza,98710.45201
65321,Power and Light,97636.03207
65321,The Legands,119312.0816
65321,Lee's Summit,82883.38149
64101,Airport (MCI),24061.07256
64101,The Plaza,6827.3449
64101,Power and Light,1763.011955
64101,The Legands,20065.78781
64101,Lee's Summit,28082.5273
64092,Airport (MCI),11656.92372
64092,The Plaza,27424.71736
64092,Power and Light,23989.31247
64092,The Legands,11136.78769
64092,Lee's Summit,50149.74733
64064,Airport (MCI),47916.49267
64064,The Plaza,22573.67293
64064,Power and Light,24360.81973
64064,The Legands,45098.65173
64064,Lee's Summit,8251.053014
64020,Airport (MCI),104162.8897
64020,The Plaza,87082.53884
64020,Power and Light,86953.02405
64020,The Legands,108746.7292
64020,Lee's Summit,69005.61896
64668,Airport (MCI),87337.66644
64668,The Plaza,83816.57867
64668,Power and Light,80544.4751
64668,The Legands,100311.3006
64668,Lee's Summit,76029.86533
64701,Airport (MCI),82319.16087
64701,The Plaza,51763.32412
64701,Power and Light,57155.38867
64701,The Legands,70388.76189
64701,Lee's Summit,32961.84708
64161,Airport (MCI),27787.0057
64161,The Plaza,18099.39149
64161,Power and Light,13354.55567
64161,The Legands,33269.37792
64161,Lee's Summit,27958.54748
64098,Airport (MCI),23110.21494
64098,The Plaza,52897.00662
64098,Power and Light,48045.47567
64098,The Legands,37350.68385
64098,Lee's Summit,74551.69678
64439,Airport (MCI),24974.70322
64439,The Plaza,55151.20115
64439,Power and Light,49352.21412
64439,The Legands,44947.4667
64439,Lee's Summit,74574.17598
64076,Airport (MCI),75564.40728
64076,The Plaza,56395.10384
64076,Power and Light,56563.73445
64076,The Legands,78287.52484
64076,Lee's Summit,38733.06502
64157,Airport (MCI),21435.76085
64157,The Plaza,28017.21152
64157,Power and Light,21891.42807
64157,The Legands,35428.59665
64157,Lee's Summit,40816.30007
64129,Airport (MCI),33752.73023
64129,The Plaza,8253.057305
64129,Power and Light,9133.390169
64129,The Legands,30079.80717
64129,Lee's Summit,17812.22236
64080,Airport (MCI),71206.71831
64080,The Plaza,42030.08149
64080,Power and Light,46187.1199
64080,The Legands,63506.78909
64080,Lee's Summit,19644.10843
64747,Airport (MCI),93426.52168
64747,The Plaza,63447.34803
64747,Power and Light,68200.45322
64747,The Legands,83580.66786
64747,Lee's Summit,42098.40509
64739,Airport (MCI),102929.3477
64739,The Plaza,73118.20475
64739,Power and Light,77750.62671
64739,The Legands,93389.84602
64739,Lee's Summit,51444.10015
64109,Airport (MCI),29021.39348
64109,The Plaza,3429.134025
64109,Power and Light,3802.491337
64109,The Legands,23717.23163
64109,Lee's Summit,23094.57727
64071,Airport (MCI),82080.51508
64071,The Plaza,65645.48645
64071,Power and Light,65133.52177
64071,The Legands,86935.89365
64071,Lee's Summit,49349.17201
65327,Airport (MCI),112170.2476
65327,The Plaza,95795.5006
65327,Power and Light,95532.04237
65327,The Legands,117335.1428
65327,Lee's Summit,77867.95325
64152,Airport (MCI),9701.669584
64152,The Plaza,22056.26426
64152,Power and Light,17603.14422
64152,The Legands,13618.20692
64152,Lee's Summit,44171.08406
64058,Airport (MCI),37385.63043
64058,The Plaza,28351.52919
64058,Power and Light,24697.46091
64058,The Legands,45099.54207
64058,Lee's Summit,29800.50428
64016,Airport (MCI),48057.13482
64016,The Plaza,33720.69954
64016,Power and Light,31822.70268
64016,The Legands,53389.91701
64016,Lee's Summit,26763.44265
64082,Airport (MCI),55313.95619
64082,The Plaza,25464.43973
64082,Power and Light,30071.01407
64082,The Legands,46785.72258
64082,Lee's Summit,5726.089222
64072,Airport (MCI),36789.64073
64072,The Plaza,32900.94904
64072,Power and Light,28460.38979
64072,The Legands,47444.16394
64072,Lee's Summit,35998.48572
64050,Airport (MCI),33894.70162
64050,The Plaza,17915.30624
64050,Power and Light,15203.80966
64050,The Legands,36748.03062
64050,Lee's Summit,22176.04656
64134,Airport (MCI),45610.73876
64134,The Plaza,15372.64845
64134,Power and Light,20378.73179
64134,The Legands,36725.89782
64134,Lee's Summit,9067.822437
64139,Airport (MCI),45597.10204
64139,The Plaza,18010.07963
